Customer ID,Top_Feature,SHAP_Value,Influence
8779-QRDMV,Contract,-2.144601,Negative (抑制流失)
7495-OOKFY,Contract,-1.3599648,Negative (抑制流失)
1658-BYGOY,Number of Referrals,-1.5650157,Negative (抑制流失)
4598-XLKNJ,Number of Referrals,-1.5301702,Negative (抑制流失)
4846-WHAFZ,Number of Referrals,-1.3541645,Negative (抑制流失)
4412-YLTKF,Contract,0.6826305,Positive (促使流失)
0390-DCFDQ,Contract,0.6022112,Positive (促使流失)
3445-HXXGF,Contract,0.6255283,Positive (促使流失)
2656-FMOKZ,Contract,0.61552644,Positive (促使流失)
2070-FNEXE,Contract,0.84592885,Positive (促使流失)
0094-OIFMO,charge_per_tenure,-0.6258153,Negative (抑制流失)
9947-OTFQU,Number of Referrals,0.7666718,Positive (促使流失)
9514-JDSKI,Contract,-1.6422113,Negative (抑制流失)
7273-TEFQD,Contract,0.6357313,Positive (促使流失)
3606-TWKGI,Contract,-1.4653698,Negative (抑制流失)
4385-GZQXV,Contract,-2.1269474,Negative (抑制流失)
3488-PGMQJ,Contract,0.7458314,Positive (促使流失)
7534-BFESC,Number of Referrals,-2.0364928,Negative (抑制流失)
8098-LLAZX,Contract,-1.5016462,Negative (抑制流失)
0265-EDXBD,Contract,0.568407,Positive (促使流失)
2840-XANRC,Contract,0.75112015,Positive (促使流失)
5020-ZSTTY,Contract,0.5700582,Positive (促使流失)
5804-LEPIM,Contract,-0.7025476,Negative (抑制流失)
0623-IIHUG,Number of Referrals,-2.6202433,Negative (抑制流失)
9057-MSWCO,Contract,0.6779746,Positive (促使流失)
4895-TMWIR,Contract,-1.0500958,Negative (抑制流失)
0533-BNWKF,Contract,0.8882012,Positive (促使流失)
0334-GDDSO,Contract,0.72254986,Positive (促使流失)
5564-NEMQO,Number of Referrals,-1.7113916,Negative (抑制流失)
6235-VDHOM,Contract,0.57202834,Positive (促使流失)
5609-CEBID,Contract,0.6072368,Positive (促使流失)
5956-VKDTT,Contract,-0.6466544,Negative (抑制流失)
0257-ZESQC,Contract,0.6302927,Positive (促使流失)
2865-TCHJW,Number of Referrals,-1.4551986,Negative (抑制流失)
5192-EBGOV,Contract,0.8717104,Positive (促使流失)
3419-SNJJD,Contract,0.67360747,Positive (促使流失)
4554-YGZIH,Contract,0.91667557,Positive (促使流失)
5099-BAILX,Contract,0.562617,Positive (促使流失)
4913-EHYUI,charge_per_tenure,-0.6605356,Negative (抑制流失)
1626-ERCMM,Contract,0.72605944,Positive (促使流失)
5644-PDMZC,Contract,0.63604254,Positive (促使流失)
4160-AMJTL,Contract,-1.6034551,Negative (抑制流失)
0823-HSCDJ,Contract,-0.6965323,Negative (抑制流失)
0067-DKWBL,Number of Referrals,-2.549345,Negative (抑制流失)
5244-IRFIH,Number of Referrals,1.0649663,Positive (促使流失)
2684-EIWEO,Contract,-1.9129893,Negative (抑制流失)
6683-VLCTZ,Contract,0.66618264,Positive (促使流失)
0691-IFBQW,Contract,-0.9080238,Negative (抑制流失)
3643-AHCFP,Number of Referrals,-1.7512293,Negative (抑制流失)
9231-ZJYAM,Contract,0.86320156,Positive (促使流失)
0727-BMPLR,Number of Referrals,-2.2733824,Negative (抑制流失)
0947-MUGVO,Number of Referrals,0.5679999,Positive (促使流失)
0781-LKXBR,Contract,-1.3382354,Negative (抑制流失)
1907-UBQFC,Contract,-0.6928042,Negative (抑制流失)
6513-EECDB,Contract,0.5912184,Positive (促使流失)
7074-IEVOJ,Contract,-1.1817181,Negative (抑制流失)
4750-ZRXIU,Number of Referrals,-1.849247,Negative (抑制流失)
7028-DVOIQ,Contract,-0.49032682,Negative (抑制流失)
4208-UFFGW,Contract,-0.6799985,Negative (抑制流失)
9889-TMAHG,Number of Referrals,-1.5153801,Negative (抑制流失)
