Customer ID,churn_prob,risk_tier,Monthly Charge,Tenure in Months,Contract,Internet Type,Churn Value
0390-DCFDQ,0.9678004,HIGH,70.45,1,Month-to-Month,Fiber Optic,1
2012-NWRPA,0.96566397,HIGH,99.55,11,Month-to-Month,Fiber Optic,1
8775-LHDJH,0.96414155,HIGH,90.6,1,Month-to-Month,Fiber Optic,1
0723-DRCLG,0.96397007,HIGH,74.45,1,Month-to-Month,Fiber Optic,1
5178-LMXOP,0.96239233,HIGH,95.1,1,Month-to-Month,Fiber Optic,1
0679-IDSTG,0.96221435,HIGH,69.25,1,Month-to-Month,Fiber Optic,1
9497-QCMMS,0.96085435,HIGH,93.55,1,Month-to-Month,Fiber Optic,1
7024-OHCCK,0.9603039,HIGH,93.85,2,Month-to-Month,Fiber Optic,1
1069-XAIEM,0.9599654,HIGH,85.05,1,Month-to-Month,Fiber Optic,1
9300-AGZNL,0.959742,HIGH,94.0,1,Month-to-Month,Fiber Optic,1
9134-CEQMF,0.95888567,HIGH,89.5,7,Month-to-Month,Fiber Optic,1
4086-YQSNZ,0.9588202,HIGH,80.4,3,Month-to-Month,Fiber Optic,1
2506-TNFCO,0.9583721,HIGH,69.55,1,Month-to-Month,Fiber Optic,1
5192-EBGOV,0.9581433,HIGH,85.7,1,Month-to-Month,Fiber Optic,1
8972-HJWNV,0.9572213,HIGH,84.55,7,Month-to-Month,Fiber Optic,1
4424-TKOPW,0.95705926,HIGH,93.85,2,Month-to-Month,Fiber Optic,1
4102-OQUPX,0.9569376,HIGH,74.4,1,Month-to-Month,Fiber Optic,1
1415-YFWLT,0.95681036,HIGH,89.3,1,Month-to-Month,Fiber Optic,1
5567-WSELE,0.95648336,HIGH,94.6,3,Month-to-Month,Fiber Optic,1
0196-VULGZ,0.95629877,HIGH,84.35,6,Month-to-Month,Fiber Optic,1
5277-ZLOOR,0.9562744,HIGH,85.55,2,Month-to-Month,Fiber Optic,1
4988-IQIGL,0.955859,HIGH,75.35,1,Month-to-Month,Fiber Optic,1
3643-AHCFP,0.95573264,HIGH,95.6,7,Month-to-Month,Cable,1
6567-HOOPW,0.95561576,HIGH,79.2,1,Month-to-Month,Fiber Optic,1
6513-EECDB,0.95484954,HIGH,73.55,1,Month-to-Month,Fiber Optic,1
4826-XTSOH,0.95479095,HIGH,86.05,1,Month-to-Month,Fiber Optic,1
1833-VGRUM,0.9544078,HIGH,74.2,1,Month-to-Month,Fiber Optic,1
8375-DKEBR,0.95406306,HIGH,69.6,1,Month-to-Month,Fiber Optic,1
5240-IJOQT,0.9533651,HIGH,74.7,1,Month-to-Month,Fiber Optic,1
6894-LFHLY,0.95331246,HIGH,75.75,1,Month-to-Month,Fiber Optic,1
1846-XWOQN,0.95320433,HIGH,70.15,1,Month-to-Month,Fiber Optic,1
1363-TXLSL,0.953043,HIGH,70.3,1,Month-to-Month,Fiber Optic,1
2720-WGKHP,0.9529765,HIGH,94.0,2,Month-to-Month,Fiber Optic,1
8580-AECUZ,0.95282227,HIGH,79.1,1,Month-to-Month,Fiber Optic,1
5383-MMTWC,0.9526222,HIGH,84.0,8,Month-to-Month,Fiber Optic,1
0495-ZBNGW,0.9526159,HIGH,79.9,5,Month-to-Month,Fiber Optic,1
3551-HUAZH,0.9519864,HIGH,74.4,1,Month-to-Month,Fiber Optic,1
3902-FOIGH,0.95161206,HIGH,101.35,12,Month-to-Month,Fiber Optic,1
8473-VUVJN,0.9512131,HIGH,73.65,1,Month-to-Month,Fiber Optic,1
8000-REIQB,0.9509044,HIGH,69.95,1,Month-to-Month,Fiber Optic,1
7409-KIUTL,0.9508475,HIGH,71.0,1,Month-to-Month,Fiber Optic,1
6861-XWTWQ,0.9500416,HIGH,99.25,7,Month-to-Month,Fiber Optic,1
8051-HJRLT,0.94984967,HIGH,70.55,1,Month-to-Month,Fiber Optic,1
4695-WJZUE,0.94931924,HIGH,88.55,2,Month-to-Month,Fiber Optic,1
9605-WGJVW,0.94887143,HIGH,70.2,1,Month-to-Month,Fiber Optic,0
5186-SAMNZ,0.9484915,HIGH,69.5,1,Month-to-Month,Fiber Optic,1
3621-CEOVK,0.94834214,HIGH,100.2,14,Month-to-Month,Fiber Optic,1
7932-WPTDS,0.9480017,HIGH,24.8,1,Month-to-Month,DSL,1
6230-BSUXY,0.9478935,HIGH,85.0,1,Month-to-Month,Fiber Optic,1
