Customer ID,Persona,raw_cluster,Churn Value,Age,married_bin,senior_bin,Number of Dependents,Tenure in Months,Monthly Charge,is_fiber,is_mpm,protection_count,Number of Referrals,Satisfaction Score,CLTV
8779-QRDMV,P3: Senior Digital Adopter,1,1,78,0,1,0,1,39.65,0,1,1,0,3,5433
7495-OOKFY,P3: Senior Digital Adopter,1,1,74,1,1,1,8,80.65,1,1,1,1,3,5302
1658-BYGOY,P3: Senior Digital Adopter,1,1,71,0,1,3,18,95.45,1,1,0,0,2,3179
4598-XLKNJ,P3: Senior Digital Adopter,1,1,78,1,1,1,25,98.5,1,1,2,1,2,5337
4846-WHAFZ,P3: Senior Digital Adopter,1,1,80,1,1,1,37,76.5,1,1,0,1,2,2793
4412-YLTKF,P3: Senior Digital Adopter,1,1,72,0,1,1,27,78.05,1,1,1,0,1,4638
0390-DCFDQ,P3: Senior Digital Adopter,1,1,76,1,1,2,1,70.45,1,1,0,1,2,3964
3445-HXXGF,P3: Senior Digital Adopter,1,1,66,1,1,0,58,45.3,0,1,2,6,1,5444
2656-FMOKZ,P3: Senior Digital Adopter,1,1,70,0,1,2,15,74.45,1,1,0,0,2,5717
2070-FNEXE,P3: Senior Digital Adopter,1,1,77,0,1,2,7,76.45,1,1,1,0,2,4419
0094-OIFMO,P3: Senior Digital Adopter,1,1,78,0,1,1,11,95.0,1,1,1,0,1,5980
9947-OTFQU,P3: Senior Digital Adopter,1,1,65,0,1,0,15,74.4,1,1,1,0,1,4616
9514-JDSKI,P3: Senior Digital Adopter,1,1,77,1,1,0,1,40.2,0,1,1,1,2,5828
7273-TEFQD,P3: Senior Digital Adopter,1,1,67,0,1,0,3,41.15,0,1,1,0,2,2314
3606-TWKGI,P3: Senior Digital Adopter,1,1,68,0,1,0,13,106.9,0,1,2,0,1,2494
4385-GZQXV,P3: Senior Digital Adopter,1,1,68,0,1,0,16,94.45,1,1,1,0,1,3810
3488-PGMQJ,P3: Senior Digital Adopter,1,1,66,0,1,0,8,74.5,1,1,1,0,2,4345
7534-BFESC,P3: Senior Digital Adopter,1,1,69,0,1,0,24,76.1,1,1,0,0,2,2018
8098-LLAZX,P3: Senior Digital Adopter,1,1,74,0,1,0,4,95.45,1,1,0,0,3,3677
0265-EDXBD,P3: Senior Digital Adopter,1,1,76,1,1,0,32,74.9,1,1,0,2,2,4105
2840-XANRC,P3: Senior Digital Adopter,1,1,77,1,1,0,24,93.15,0,1,1,1,2,2212
5020-ZSTTY,P3: Senior Digital Adopter,1,1,70,0,1,0,54,82.45,0,0,3,0,1,4149
5804-LEPIM,P3: Senior Digital Adopter,1,1,74,0,1,0,2,70.35,1,1,0,0,3,2671
0623-IIHUG,P3: Senior Digital Adopter,1,1,77,0,1,0,21,41.9,0,1,1,0,1,4778
9057-MSWCO,P3: Senior Digital Adopter,1,1,71,1,1,0,27,30.75,0,1,1,0,1,2927
4895-TMWIR,P3: Senior Digital Adopter,1,1,79,1,1,0,11,19.95,0,1,0,1,1,5888
0533-BNWKF,P3: Senior Digital Adopter,1,1,66,1,1,0,55,85.45,1,1,2,2,1,5502
0334-GDDSO,P3: Senior Digital Adopter,1,1,77,0,1,0,3,81.35,1,1,1,0,1,2818
5564-NEMQO,P3: Senior Digital Adopter,1,1,80,0,1,0,1,75.3,1,1,1,0,2,4902
6235-VDHOM,P3: Senior Digital Adopter,1,1,77,0,1,0,5,28.45,0,1,1,0,2,4099
5609-CEBID,P3: Senior Digital Adopter,1,1,77,0,1,0,20,94.1,1,1,2,0,1,2666
5956-VKDTT,P3: Senior Digital Adopter,1,1,72,1,1,0,5,74.35,1,1,0,4,1,5273
0257-ZESQC,P3: Senior Digital Adopter,1,1,80,1,1,0,27,75.2,0,1,1,2,1,4517
2865-TCHJW,P3: Senior Digital Adopter,1,1,74,0,1,0,4,89.2,0,1,1,0,1,5808
5192-EBGOV,P3: Senior Digital Adopter,1,1,68,0,1,0,1,85.7,1,1,0,0,1,4880
3419-SNJJD,P3: Senior Digital Adopter,1,1,78,1,1,0,65,105.25,1,1,2,3,1,4196
4554-YGZIH,P3: Senior Digital Adopter,1,1,75,1,1,0,49,90.05,1,1,1,3,2,5059
5099-BAILX,P3: Senior Digital Adopter,1,1,77,1,1,0,43,110.75,1,1,3,1,2,2728
4913-EHYUI,P3: Senior Digital Adopter,1,1,80,1,1,0,56,104.55,1,0,2,0,1,6268
1626-ERCMM,P3: Senior Digital Adopter,1,1,75,1,1,0,20,94.55,1,1,0,7,1,5604
5644-PDMZC,P3: Senior Digital Adopter,1,1,69,0,1,0,2,89.5,1,1,1,0,2,2065
4160-AMJTL,P3: Senior Digital Adopter,1,1,74,0,1,0,8,19.65,0,1,0,0,2,5432
0823-HSCDJ,P3: Senior Digital Adopter,1,1,76,0,1,0,52,49.15,0,1,1,0,2,5597
0067-DKWBL,P3: Senior Digital Adopter,1,1,69,0,1,0,2,49.25,0,1,1,0,2,3475
5244-IRFIH,P3: Senior Digital Adopter,1,1,72,1,1,0,33,94.5,1,1,0,1,3,4333
2684-EIWEO,P3: Senior Digital Adopter,1,1,69,0,1,0,30,91.7,1,1,3,0,1,2482
6683-VLCTZ,P3: Senior Digital Adopter,1,1,73,0,1,0,20,98.55,1,1,1,0,3,5444
0691-IFBQW,P3: Senior Digital Adopter,1,1,65,0,1,0,46,110.0,1,0,3,0,1,2403
3643-AHCFP,P3: Senior Digital Adopter,1,1,74,1,1,0,7,95.6,0,1,0,1,3,3265
9231-ZJYAM,P3: Senior Digital Adopter,1,1,65,0,1,0,4,78.85,1,1,0,0,3,5301
0727-BMPLR,P3: Senior Digital Adopter,1,1,66,0,1,0,55,100.0,1,0,1,0,3,5679
0947-MUGVO,P3: Senior Digital Adopter,1,1,71,1,1,0,20,73.65,1,1,1,1,1,5849
0781-LKXBR,P3: Senior Digital Adopter,1,1,65,0,1,0,9,100.5,1,1,1,0,1,4038
1907-UBQFC,P3: Senior Digital Adopter,1,1,69,0,1,0,10,72.85,1,1,1,0,1,3189
6513-EECDB,P3: Senior Digital Adopter,1,1,75,1,1,0,1,73.55,1,1,0,0,2,4369
7074-IEVOJ,P3: Senior Digital Adopter,1,1,75,0,1,0,3,79.4,1,1,1,0,1,3501
4750-ZRXIU,P3: Senior Digital Adopter,1,1,68,0,1,0,4,84.6,0,1,0,0,1,2467
7028-DVOIQ,P3: Senior Digital Adopter,1,1,71,0,1,0,35,99.05,1,1,1,0,1,2074
4208-UFFGW,P3: Senior Digital Adopter,1,1,80,0,1,0,2,44.95,0,1,0,0,2,5900
9889-TMAHG,P3: Senior Digital Adopter,1,1,66,0,1,0,8,100.3,1,1,2,0,1,5084
8919-FYFQZ,P3: Senior Digital Adopter,1,1,73,1,1,0,44,30.35,0,1,1,2,1,4829
6646-QVXLR,P3: Senior Digital Adopter,1,1,77,1,1,0,62,103.75,1,0,2,1,1,5052
9369-XFEHK,P3: Senior Digital Adopter,1,1,76,1,1,0,33,80.6,0,1,1,1,2,3601
1374-DMZUI,P3: Senior Digital Adopter,1,1,65,0,1,0,4,94.3,1,1,0,0,2,5419
1989-PRJHP,P3: Senior Digital Adopter,1,1,75,1,1,0,27,75.5,1,1,0,1,1,2377
4822-RVYBB,P3: Senior Digital Adopter,1,1,75,0,1,0,8,100.6,1,1,1,0,1,5906
4184-TJFAN,P3: Senior Digital Adopter,1,1,68,1,1,0,3,88.3,1,1,2,1,1,4486
4145-UQXUQ,P3: Senior Digital Adopter,1,1,71,0,1,0,8,92.1,1,1,1,0,1,5662
1236-WFCDV,P3: Senior Digital Adopter,1,1,74,0,1,0,14,90.45,1,1,0,0,3,4777
1271-SJBGZ,P3: Senior Digital Adopter,1,1,77,0,1,0,12,43.65,0,1,2,0,1,2437
4441-NIHPT,P3: Senior Digital Adopter,1,1,73,0,1,0,13,74.3,1,1,1,0,1,2995
8999-BOHSE,P3: Senior Digital Adopter,1,1,68,0,1,0,11,89.7,1,1,0,0,2,2202
7029-RPUAV,P3: Senior Digital Adopter,1,1,74,1,1,0,17,100.45,0,1,1,1,3,5508
8111-SLLHI,P3: Senior Digital Adopter,1,1,65,1,1,0,39,105.65,1,1,2,1,3,4687
5293-WXJAK,P3: Senior Digital Adopter,1,1,73,1,1,0,11,104.05,1,1,2,5,3,4553
4086-YQSNZ,P3: Senior Digital Adopter,1,1,74,1,1,0,3,80.4,1,1,0,1,2,3834
8399-YNDCH,P3: Senior Digital Adopter,1,1,80,0,1,0,21,60.05,0,1,1,0,1,4716
5565-FILXA,P3: Senior Digital Adopter,1,1,76,0,1,0,16,96.15,1,1,0,0,2,5913
4187-CINZD,P3: Senior Digital Adopter,1,1,73,0,1,0,46,95.25,1,0,1,0,2,3180
6818-WOBHJ,P3: Senior Digital Adopter,1,1,70,1,1,0,68,89.6,1,1,1,1,1,5651
9134-CEQMF,P3: Senior Digital Adopter,1,1,75,1,1,0,7,89.5,1,1,0,1,2,3077
8519-IMDHU,P3: Senior Digital Adopter,1,1,74,1,1,0,15,85.6,0,1,0,1,1,4981
3372-KWFBM,P3: Senior Digital Adopter,1,1,76,0,1,0,16,86.6,1,1,0,0,3,2508
7206-GZCDC,P3: Senior Digital Adopter,1,1,75,0,1,0,1,69.25,0,1,0,0,2,4371
1768-ZAIFU,P3: Senior Digital Adopter,1,1,74,0,1,0,1,25.2,0,1,0,0,1,5688
3793-MMFUH,P3: Senior Digital Adopter,1,1,73,0,1,0,13,95.05,1,1,0,0,1,2230
6567-HOOPW,P3: Senior Digital Adopter,1,1,69,0,1,0,1,79.2,1,1,0,0,3,4363
8621-MNIHH,P3: Senior Digital Adopter,1,1,75,1,1,0,34,94.25,1,1,2,1,1,3369
5419-CONWX,P3: Senior Digital Adopter,1,1,65,0,1,0,4,99.8,1,1,2,0,1,2268
7024-OHCCK,P3: Senior Digital Adopter,1,1,77,0,1,0,2,93.85,1,1,0,0,3,4193
5357-TZHPP,P3: Senior Digital Adopter,1,1,67,0,1,0,9,84.4,1,1,0,0,2,5745
0506-LVNGN,P3: Senior Digital Adopter,1,1,78,0,1,0,5,75.55,1,1,1,0,1,4028
9809-IMGCQ,P3: Senior Digital Adopter,1,1,65,0,1,0,22,96.7,1,1,0,0,1,4458
3254-YRILK,P3: Senior Digital Adopter,1,1,74,0,1,0,19,88.2,1,1,1,0,1,5683
0529-ONKER,P3: Senior Digital Adopter,1,1,70,0,1,0,15,75.65,1,1,0,0,3,2099
5240-IJOQT,P3: Senior Digital Adopter,1,1,69,0,1,0,1,74.7,1,1,0,0,1,3348
0661-XEYAN,P3: Senior Digital Adopter,1,1,76,0,1,0,1,25.8,0,1,0,0,1,3884
2660-EMUBI,P3: Senior Digital Adopter,1,1,71,0,1,0,10,95.35,1,1,0,0,1,5353
7675-OZCZG,P3: Senior Digital Adopter,1,1,76,0,1,0,3,45.0,0,1,0,0,3,4145
9391-EOYLI,P3: Senior Digital Adopter,1,1,77,1,1,0,12,80.45,1,1,0,1,2,5374
2761-OCIAX,P3: Senior Digital Adopter,1,1,74,0,1,0,2,74.7,1,1,1,0,2,2803
3068-OMWZA,P3: Senior Digital Adopter,1,1,77,0,1,0,1,88.8,1,1,1,0,1,3106
4154-AQUGT,P3: Senior Digital Adopter,1,1,76,1,1,0,13,89.05,1,1,2,1,1,3861
8017-LXHFA,P3: Senior Digital Adopter,1,1,77,0,1,0,23,94.75,1,1,1,0,2,2740
4248-QPAVC,P3: Senior Digital Adopter,1,1,80,1,1,0,17,85.35,1,1,2,1,1,3209
4690-LLKUA,P3: Senior Digital Adopter,1,1,68,0,1,0,17,45.05,0,1,0,0,1,3797
9490-DFPMD,P3: Senior Digital Adopter,1,1,79,0,1,0,42,84.65,1,1,0,0,2,4871
8580-AECUZ,P3: Senior Digital Adopter,1,1,65,0,1,0,1,79.1,1,1,0,0,3,5001
5047-LHVLY,P3: Senior Digital Adopter,1,1,68,0,1,0,1,50.15,0,1,1,0,2,3438
8375-DKEBR,P3: Senior Digital Adopter,1,1,72,0,1,0,1,69.6,1,1,0,0,1,3438
7279-BUYWN,P3: Senior Digital Adopter,1,1,66,0,1,0,41,113.2,1,1,3,0,1,3380
7156-MHUGY,P3: Senior Digital Adopter,1,1,68,0,1,0,13,90.5,1,1,0,0,1,5394
9606-PBKBQ,P3: Senior Digital Adopter,1,1,69,1,1,0,32,85.0,1,1,0,1,1,4584
3536-IQCTX,P3: Senior Digital Adopter,1,1,76,1,1,0,32,85.3,1,1,0,1,1,2712
3132-TVFDZ,P3: Senior Digital Adopter,1,1,70,1,1,0,57,44.85,0,1,0,1,2,5172
8080-DDEMJ,P3: Senior Digital Adopter,1,1,71,0,1,0,1,45.1,0,1,0,0,2,4499
6702-OHFWR,P3: Senior Digital Adopter,1,1,75,0,1,0,1,43.3,0,1,2,0,3,4972
4510-PYUSH,P3: Senior Digital Adopter,1,1,67,0,1,0,38,57.15,0,1,2,0,1,3110
8840-DQLGN,P3: Senior Digital Adopter,1,1,65,1,1,0,35,100.5,0,1,3,1,1,4745
4193-ORFCL,P3: Senior Digital Adopter,1,1,80,0,1,0,1,45.1,0,1,0,0,1,2740
7776-QWNFX,P3: Senior Digital Adopter,1,1,71,1,1,0,30,50.4,0,1,1,1,3,4795
6689-TCZHQ,P3: Senior Digital Adopter,1,1,70,0,1,0,5,78.95,1,1,0,0,3,4054
9497-QCMMS,P3: Senior Digital Adopter,1,1,73,0,1,0,1,93.55,1,1,0,0,1,5536
3424-NMNBO,P3: Senior Digital Adopter,1,1,78,1,1,0,58,108.85,1,0,3,1,1,4739
4514-GFCFI,P3: Senior Digital Adopter,1,1,76,0,1,0,16,84.75,1,1,0,0,2,5136
8000-REIQB,P3: Senior Digital Adopter,1,1,73,0,1,0,1,69.95,1,1,0,0,2,3208
4795-KTRTH,P3: Senior Digital Adopter,1,1,68,1,1,0,5,81.0,1,1,1,1,1,4287
9961-JBNMK,P3: Senior Digital Adopter,1,1,79,0,1,0,21,96.8,1,1,1,0,1,4317
6179-GJPSO,P3: Senior Digital Adopter,1,1,67,0,1,0,43,108.15,1,1,3,0,1,2833
8290-YWKHZ,P3: Senior Digital Adopter,1,1,69,1,1,0,32,93.2,1,1,0,1,3,5247
8051-HJRLT,P3: Senior Digital Adopter,1,1,72,0,1,0,1,70.55,1,1,0,0,3,2146
4021-RQSNY,P3: Senior Digital Adopter,1,1,75,1,1,0,29,98.5,1,1,1,1,3,5137
9061-TIHDA,P3: Senior Digital Adopter,1,1,67,1,1,0,13,95.25,0,1,0,1,1,2982
8699-ASUFO,P3: Senior Digital Adopter,1,1,72,1,1,0,7,74.4,1,1,0,1,3,4969
4695-WJZUE,P3: Senior Digital Adopter,1,1,68,0,1,0,2,88.55,1,1,1,0,1,3685
3988-RQIXO,P3: Senior Digital Adopter,1,1,68,0,1,0,1,91.3,1,1,0,0,3,2371
5931-FLJJF,P3: Senior Digital Adopter,1,1,75,1,1,0,7,70.1,1,1,0,1,2,3669
3207-OYBWH,P3: Senior Digital Adopter,1,1,74,1,1,0,57,95.25,1,1,2,1,2,6259
7216-EWTRS,P3: Senior Digital Adopter,1,1,78,1,1,0,1,100.8,1,1,1,4,1,3128
2528-HFYZX,P3: Senior Digital Adopter,1,1,66,1,1,0,17,76.45,1,1,1,2,1,3266
4140-MUHUG,P3: Senior Digital Adopter,1,1,73,0,1,0,3,86.85,1,1,1,0,2,3561
1587-FKLZB,P3: Senior Digital Adopter,1,1,79,1,1,0,66,99.5,1,1,1,1,1,4479
5440-FLBQG,P3: Senior Digital Adopter,1,1,69,1,1,0,69,108.4,1,0,3,1,3,4708
2774-LVQUS,P3: Senior Digital Adopter,1,1,65,1,1,0,15,83.05,1,1,2,2,3,2596
4612-THJBS,P3: Senior Digital Adopter,1,1,68,0,1,0,56,104.75,1,0,2,0,3,5605
4094-NSEDU,P3: Senior Digital Adopter,1,1,79,0,1,0,21,94.25,1,1,0,0,2,4819
1846-XWOQN,P3: Senior Digital Adopter,1,1,80,0,1,0,1,70.15,1,1,0,0,2,2825
3757-NJYBX,P3: Senior Digital Adopter,1,1,77,1,1,0,32,106.35,1,1,2,3,2,4113
9898-KZQDZ,P3: Senior Digital Adopter,1,1,65,1,1,0,40,94.55,1,1,0,1,1,5676
8263-JQAIK,P3: Senior Digital Adopter,1,1,66,0,1,0,2,24.45,0,1,0,0,3,5573
2205-YMZZJ,P3: Senior Digital Adopter,1,1,75,0,1,0,7,84.8,1,1,0,0,3,2015
1254-IZEYF,P3: Senior Digital Adopter,1,1,74,0,1,0,31,99.95,1,1,1,0,3,5362
9221-OTIVJ,P3: Senior Digital Adopter,1,1,80,0,1,0,14,104.85,1,1,2,0,1,2292
5908-QMGOE,P3: Senior Digital Adopter,1,1,74,0,1,0,15,74.2,1,1,0,0,1,4553
0397-GZBBC,P3: Senior Digital Adopter,1,1,70,1,1,0,59,93.85,1,1,0,0,2,5390
7641-EUYET,P3: Senior Digital Adopter,1,1,76,1,1,0,46,100.7,1,1,3,3,1,5712
8922-LIEGH,P3: Senior Digital Adopter,1,1,72,0,1,0,25,89.7,1,1,1,0,3,4078
8245-UMPYT,P3: Senior Digital Adopter,1,1,66,0,1,0,16,96.4,1,1,0,0,3,2688
5186-SAMNZ,P3: Senior Digital Adopter,1,1,75,0,1,0,1,69.5,1,1,0,0,2,3273
5373-SFODM,P3: Senior Digital Adopter,1,1,65,1,1,0,36,85.25,1,1,0,1,2,3041
0022-TCJCI,P3: Senior Digital Adopter,1,1,79,0,1,0,45,62.7,0,0,2,0,1,2654
5130-IEKQT,P3: Senior Digital Adopter,1,1,73,0,1,0,25,105.95,1,1,2,0,2,4283
3269-ATYWD,P3: Senior Digital Adopter,1,1,79,0,1,0,39,95.65,1,1,0,0,1,4892
0354-WYROK,P3: Senior Digital Adopter,1,1,70,1,1,0,31,98.9,1,1,2,1,2,4050
7576-OYWBN,P3: Senior Digital Adopter,1,1,71,0,1,0,3,76.05,1,1,0,0,1,2930
5539-TMZLF,P3: Senior Digital Adopter,1,1,69,0,1,0,1,69.75,1,1,0,0,1,5057
3336-JORSO,P3: Senior Digital Adopter,1,1,70,0,1,0,33,110.45,1,1,3,0,1,3401
6861-XWTWQ,P3: Senior Digital Adopter,1,1,71,1,1,0,7,99.25,1,1,1,1,2,2487
4283-FUTGF,P3: Senior Digital Adopter,1,1,67,0,1,0,19,79.85,1,1,1,0,3,3715
2397-BRLOM,P3: Senior Digital Adopter,1,1,67,1,1,0,8,80.45,1,1,0,2,1,3443
8510-AWCXC,P3: Senior Digital Adopter,1,1,69,0,1,0,13,100.8,1,1,1,0,1,3269
8225-BTJAU,P3: Senior Digital Adopter,1,1,75,0,1,0,10,79.25,1,1,0,0,1,3856
1724-BQUHA,P3: Senior Digital Adopter,1,1,67,0,1,0,5,89.5,1,1,0,0,2,2718
4826-XTSOH,P3: Senior Digital Adopter,1,1,66,1,1,0,1,86.05,1,1,0,0,1,4843
2408-WITXK,P3: Senior Digital Adopter,1,1,67,0,1,0,10,34.7,0,1,0,0,1,3244
2634-HCZGT,P3: Senior Digital Adopter,1,1,71,1,1,0,53,60.05,0,0,2,1,1,5271
7503-QQRVF,P3: Senior Digital Adopter,1,1,74,1,1,0,16,74.3,1,1,1,1,1,2076
0709-TVGUR,P3: Senior Digital Adopter,1,1,70,0,1,0,9,74.55,1,1,0,0,1,3145
3001-CBHLQ,P3: Senior Digital Adopter,1,1,76,1,1,0,32,104.9,1,1,2,1,1,3966
4102-OQUPX,P3: Senior Digital Adopter,1,1,67,1,1,0,1,74.4,1,1,0,1,3,5429
3999-QGRJH,P3: Senior Digital Adopter,1,1,80,0,1,0,8,69.7,1,1,0,0,1,3068
2454-RPBRZ,P3: Senior Digital Adopter,1,1,67,1,1,0,12,98.1,1,1,2,1,3,2709
2265-CYWIV,P3: Senior Digital Adopter,1,1,68,1,1,0,4,99.6,1,1,1,1,1,4708
4550-VBOFE,P3: Senior Digital Adopter,1,1,69,1,1,0,70,102.95,1,1,2,1,1,5005
7409-KIUTL,P3: Senior Digital Adopter,1,1,80,0,1,0,1,71.0,1,1,0,0,3,5345
1732-VHUBQ,P3: Senior Digital Adopter,1,1,73,1,1,0,47,70.55,1,1,0,1,3,4457
0679-IDSTG,P3: Senior Digital Adopter,1,1,73,1,1,0,1,69.25,1,1,0,1,1,4568
8802-UNOJF,P3: Senior Digital Adopter,1,1,65,0,1,0,12,83.8,0,1,3,0,1,5565
6313-GIDIT,P3: Senior Digital Adopter,1,1,73,0,1,0,53,54.45,0,1,2,0,2,6280
2845-AFFTX,P3: Senior Digital Adopter,1,1,78,1,1,0,41,99.8,1,1,1,0,1,4726
2815-CPTUL,P3: Senior Digital Adopter,1,1,68,0,1,0,5,70.25,1,1,0,0,2,3684
1891-FZYSA,P3: Senior Digital Adopter,1,1,65,1,1,0,69,89.95,1,1,1,1,1,6363
9685-WKZGT,P3: Senior Digital Adopter,1,1,67,0,1,0,14,74.95,1,1,0,0,3,2075
6022-UGGSO,P3: Senior Digital Adopter,1,1,70,0,1,0,32,74.4,1,1,1,0,1,2091
3923-CSIHK,P3: Senior Digital Adopter,1,1,69,1,1,0,50,71.05,0,1,0,1,3,5746
3677-IYRBF,P3: Senior Digital Adopter,1,1,73,0,1,0,2,30.4,0,1,1,0,1,4002
8118-LSUEL,P3: Senior Digital Adopter,1,1,74,0,1,0,23,106.4,1,1,2,0,1,5507
5277-ZLOOR,P3: Senior Digital Adopter,1,1,78,0,1,0,2,85.55,1,1,0,0,3,5512
4248-HCETZ,P3: Senior Digital Adopter,1,1,77,1,1,0,30,79.65,1,1,2,1,3,2174
9174-FKWZE,P3: Senior Digital Adopter,1,1,70,0,1,0,1,19.45,0,1,0,0,1,3848
5307-DZCVC,P3: Senior Digital Adopter,1,1,78,1,1,0,32,85.95,1,1,0,0,3,2431
8679-JOEVF,P3: Senior Digital Adopter,1,1,75,0,1,0,16,59.4,0,1,1,0,1,5556
4803-AXVYP,P3: Senior Digital Adopter,1,1,75,0,1,0,38,99.55,1,1,1,0,1,3474
5649-ANRML,P3: Senior Digital Adopter,1,1,76,0,1,0,2,95.1,1,1,3,0,3,4486
7395-IGJOS,P3: Senior Digital Adopter,1,1,70,1,1,0,17,81.5,1,1,0,1,2,3443
7890-VYYWG,P3: Senior Digital Adopter,1,1,67,1,1,0,3,36.45,0,1,0,1,1,3766
9907-SWKKF,P3: Senior Digital Adopter,1,1,69,0,1,0,1,25.05,0,1,0,0,1,4842
6397-JNZZG,P3: Senior Digital Adopter,1,1,70,1,1,0,43,55.55,0,1,2,1,1,2573
7779-LGOVN,P3: Senior Digital Adopter,1,1,74,1,1,0,10,86.65,0,1,0,2,1,4990
9710-ZUSHQ,P3: Senior Digital Adopter,1,1,77,0,1,0,37,106.75,1,1,2,0,1,5849
3902-FOIGH,P3: Senior Digital Adopter,1,1,66,1,1,0,12,101.35,1,1,1,1,1,3967
3318-OSATS,P3: Senior Digital Adopter,1,1,70,0,1,0,35,95.45,1,1,0,0,2,2080
2636-ALXXZ,P3: Senior Digital Adopter,1,1,68,0,1,0,1,69.6,1,1,0,0,2,2151
9885-CSMWE,P3: Senior Digital Adopter,1,1,65,0,1,0,1,78.45,1,1,0,0,1,2139
8058-JMEQO,P3: Senior Digital Adopter,1,1,76,0,1,0,9,84.45,1,1,0,0,3,3543
7657-DYEPJ,P3: Senior Digital Adopter,1,1,73,0,1,0,38,70.15,0,0,3,0,3,2645
8276-MQBYC,P3: Senior Digital Adopter,1,1,70,0,1,0,51,97.8,1,1,1,0,2,6204
6015-VVHHE,P3: Senior Digital Adopter,1,1,68,0,1,0,5,83.15,1,1,0,0,3,2516
